order_id,customer_id,date,nearest_warehouse,shopping_cart,order_price,delivery_charges,customer_lat,customer_long,coupon_discount,order_total,season,is_expedited_delivery,distance_to_nearest_warehouse,latest_customer_review,is_happy_customer
ORD313847,ID4248528827,2019-12-25,Nickolson,"[('Alcon 10', 2), ('Olivia x460', 2), ('Toshika 750', 2)]",28990,62.91,-37.8092601,144.9785159,10,26153.91,Summer,False,1.3044,sucks! refurbished phone! sucks! didn't tell in advertising that it's refurbished and verizon could not use it!! waste of money all it is is a paperweight ! do not buy from this company.. not honest !!,False
ORD098527,ID0227770459,2019-07-21,Bakers,"[('Toshika 750', 1), ('Universe Note', 1)]",7770,80.01,-37.8011638,144.9851514,25,5907.51,Winter,True,1.3239,this tablet is by far one of the best purchases we've made for my son. the kids feature is extra nice!,True
ORD498206,ID4451156232,2019-06-05,Nickolson,"[('Alcon 10', 1), ('Olivia x460', 1), ('Thunder line', 2)]",14535,62.2,-37.817369799999994,144.9658133,10,13143.7,Winter,False,0.3559,i love the phone and recommend it phone looks newer than advertised. it also functions so well; i haven't had any problems so far and don't hope to. i love the phone and recommend it.,True
ORD069419,ID0030948030,2019-01-01,Bakers,"[('Alcon 10', 2), ('Universe Note', 2), ('iAssist Line', 2), ('iStream', 2)]",29550,71.3,-37.81266710000001,145.00026169999995,25,22233.8,Summer,False,0.533,hassle free product was exactly what i ordered.,True
ORD242272,ID0578120907,2019-04-28,Thompson,"[('Thunder line', 2), ('Toshika 750', 1), ('iAssist Line', 2)]",13130,52.43,-37.8246196,144.9458094,10,11869.43,Autumn,False,1.3344,worked great for about ten days but then started misbehaving i was so hoping this would work tho i was sceptical. still not sure if my phone was new or reconditioned.worked great for about ten days but then started misbehaving .correction after correction since then right up to now returning. very disappointed.,False
ORD279709,ID0030385486,2019-04-11,Bakers,"[('Thunder line', 2), ('iStream', 1), ('pearTV', 2)]",17130,64.1,-37.8168076,144.9994885,15,14624.6,Autumn,False,0.8456,legit not disappointed with what i paid for,True
ORD234859,ID0373649798,2019-04-14,Thompson,"[('Alcon 10', 1), ('Thunder line', 1), ('iStream', 1)]",11280,81.89,-37.8090417,144.9295415,15,9669.89,Autumn,False,1.5936,None,False
ORD140943,ID0282825822,2019-07-18,Thompson,"[('iStream', 1), ('pearTV', 2)]",12770,67.11,-37.8015575,144.94981289999996,5,12198.61,Winter,False,1.2607,reliable budget smart phone i used this phone for about a month while my other phone was being repaired,True
ORD381045,ID0575524475,2019-11-24,Nickolson,"[('Alcon 10', 1), ('iAssist Line', 2), ('iStream', 2)]",13700,105.02,-37.8204811,144.9818467,5,13120.02,Spring,True,1.1014,better than buying flagship great phone for the price.,True
ORD264122,ID6197209819,2019-03-10,Thompson,"[('Toshika 750', 2), ('Universe Note', 1), ('pearTV', 2)]",24710,82.59,-37.8179629,144.932101,0,24792.59,Autumn,True,1.442,good phone it's been a good phone so far no complaints it arrived on time so honestly i am happy with my purchase.,True
ORD469781,ID4769265354,2019-12-11,Bakers,"[('Olivia x460', 1), ('Thunder line', 1), ('Toshika 750', 2), ('iAssist Line', 2)]",16495,82.88,-37.8108766,145.01413080000003,25,12454.13,Summer,False,1.6649,"it is great value for money phone got is 2 days back and it is great value for the money. for the price, i felt the is really good with nice build,good camera and good performance for the day today use. i am not into gaming so i do not care the gpu. overall great phone.",True
ORD155376,ID5422003858,2019-01-09,Thompson,"[('Olivia x460', 1), ('Universe Note', 1), ('iStream', 1), ('pearTV', 1)]",11135,102.36,-37.800443,144.958785,15,9567.11,Summer,True,1.7074,five stars bought this for my dad he likes it alot,True
ORD010561,ID0202772800,2019-01-31,Thompson,"[('Alcon 10', 1), ('Candle Inferno', 2), ('Thunder line', 1), ('iStream', 2)]",12290,102.98,-37.8052525,144.9260628,0,12392.98,Summer,True,2.0237,five stars one of the best phones out there. the phone was shipped with all the accessories.,True
ORD147478,ID0575396015,2019-05-12,Nickolson,"[('Toshika 750', 2), ('iStream', 2)]",8940,80.65,-37.8210743,144.9830055,5,8573.65,Autumn,False,1.2149,"for the price you really can't beat this tablet. the picture looks good, digico has a great game, movie and music catalog. so if your looks big for something just to view movies on, play games or surf the web get this one because for the price it can't be beat!",True
ORD438893,ID0287630732,2019-10-29,Thompson,"[('Lucent 330S', 1), ('Thunder line', 2)]",5590,77.59,-37.805195399999995,144.94314269999995,10,5108.59,Spring,False,0.9012,be sure to join digico gold and have access to lots of free reading downloads,True
ORD087019,ID0282825823,2019-07-09,Thompson,"[('Candle Inferno', 1), ('Toshika 750', 2), ('iStream', 2), ('pearTV', 1)]",15680,78.31,-37.8026232,144.9486575,5,14974.31,Winter,False,1.1274,loud ringer! got this phone as a gift for my dad on father’s day. he loves it. he reports the fingerprint reader is his favorite part and he likes how he can hear his phone ring when using his electric saw.,True
ORD269549,ID6209516580,2019-09-10,Nickolson,"[('iAssist Line', 1), ('iStream', 2)]",2525,108.66,-37.8028836,144.966495,0,2633.66,Spring,True,1.7695,xp 3310 3g it looks amazing just like i remember it years ago. but sadly the screen came in scratched so i am going to have to exchange it.,True
ORD177137,ID0472236193,2019-04-22,Nickolson,"[('Lucent 330S', 2), ('iStream', 2)]",2760,85.28,-37.801094899999995,144.9669399,10,2569.28,Autumn,True,1.9615,looks brand new!! really pleased with this phone. it was purchased to replace an s7 edge with a broken screen. the phone looks new and i suspect it was. exactly what i was looking for and at a good price!,True
ORD006389,ID6222911352,2019-12-31,Bakers,"[('Alcon 10', 1), ('Candle Inferno', 1), ('Olivia x460', 2)]",11830,86.51,-37.820241100000004,145.0151131,10,10733.51,Summer,True,2.0874,workhorse so durable. my husband loves the fact that this will stand up to a rough day with him. very rugged.,True
ORD448087,ID0260907259,2019-11-18,Bakers,"[('Thunder line', 2), ('Toshika 750', 2), ('Universe Note', 2), ('iStream', 1)]",20050,111.96,-37.8244094,145.0086985,5,19159.46,Spring,True,1.9941,five stars great phone and it works with metro pcs too.,True
ORD270945,ID0714724462,2019-04-20,Nickolson,"[('Alcon 10', 2), ('Olivia x460', 1)]",19125,64.3,-37.8111501,144.9622637,10,17276.8,Autumn,False,1.0476,like new out of the box. so far so good. looks and works like new at considerably less than new price.,True
ORD380885,ID3115762671,2019-04-07,Thompson,"[('Alcon 10', 1), ('Thunder line', 2), ('iStream', 1), ('pearTV', 2)]",26080,81.15,-37.80577460000001,144.9577387,25,19641.15,Autumn,False,1.2125,! the phone came very quickly and i do love it so far. however something was missing from the package i reached out to the seller and no response.,True
ORD301880,ID3218226998,2019-12-14,Thompson,"[('Alcon 10', 2), ('Olivia x460', 1), ('Universe Note', 1), ('iStream', 1)]",22725,91.69,-37.8063406,144.9453799,10,20544.19,Summer,True,0.7204,awesome deal great deal for a really decent phone. bought this for my kids and it is easy for them to use and has the features you would expect from a smartphone at a fraction of the cost. highly recommend!,True
ORD449023,ID0163627875,2019-08-12,Thompson,"[('Lucent 330S', 1), ('Thunder line', 1), ('pearTV', 1)]",9720,81.79,-37.8239933,144.9538906,0,9801.79,Winter,False,1.3956,"so far so good. it works, so far so good.",True
ORD032472,ID5332193019,2019-12-03,Thompson,"[('Alcon 10', 1), ('Olivia x460', 2), ('Thunder line', 1), ('Universe Note', 1)]",17030,79.52,-37.8175479,144.9334805,0,17109.52,Summer,False,1.3124,great phone! highly recommend! i'm impressed by the high quality of this phone at this price! really love it! i will recommend it to every friend of mine.,True
ORD069116,ID5402876204,2019-02-06,Nickolson,"[('Candle Inferno', 1), ('Toshika 750', 1), ('iAssist Line', 2)]",9200,93.93,-37.82167800000001,144.97793240000001,25,6993.93,Summer,True,0.813,five stars love it@,True
ORD397743,ID0026034671,2019-05-09,Nickolson,"[('Olivia x460', 1), ('iAssist Line', 1), ('iStream', 1), ('pearTV', 1)]",9910,65.73,-37.8103715,144.97255330000004,25,7498.23,Autumn,False,0.9527,"awesome mothers day present! bought it for my mother on mothers day, and she loves it!",True
ORD285386,ID0711333371,2019-07-23,Thompson,"[('Olivia x460', 1), ('Thunder line', 2), ('iAssist Line', 2), ('pearTV', 2)]",22655,51.95,-37.806793400000004,144.9559989,5,21574.2,Winter,True,1.0223,warning!!! this product comes with an after-market ... warning!!! this product comes with an after-market charger! you can not do the turbo charging. the item description is incorrect. if i would have known i would have bought it from someone else. the charger alone at the verizon store is $45,False
ORD431574,ID0597547728,2019-11-28,Nickolson,"[('Candle Inferno', 2), ('Olivia x460', 1), ('iAssist Line', 1)]",4310,74.6,-37.8156495,144.9639803,25,3307.1,Spring,False,0.5895,ok ok,True
ORD137142,ID0578120596,2019-09-24,Thompson,"[('Candle Inferno', 2), ('iAssist Line', 2)]",5310,79.83,-37.8250284,144.94528449999999,25,4062.33,Spring,False,1.3843,best value for money amazing phone and works perfectly,True
ORD328792,ID6167440991,2019-03-26,Nickolson,"[('Candle Inferno', 2), ('pearTV', 2)]",13480,77.44,-37.8124336,144.9621758,5,12883.44,Autumn,True,0.944,sleek and easy to use great upgrade from lucent g4,True
ORD434635,ID4283908118,2019-08-20,Nickolson,"[('Candle Inferno', 1), ('Lucent 330S', 2), ('Thunder line', 1), ('Universe Note', 2)]",11970,52.61,-37.8081851,144.9756244,5,11424.11,Winter,False,1.276,"used or remanufactured product the box and the manuals are not original, so i doubt the phone is new.this is a hoax.",False
ORD398378,ID5472131169,2019-05-15,Nickolson,"[('Olivia x460', 2), ('Universe Note', 2), ('iStream', 2), ('pearTV', 2)]",22270,66.3,-37.819972,144.95648219999995,5,21222.8,Autumn,False,1.1594,"i just love it! its faster i just love it! its faster, comfortable and have a nice and unic design. it looks slick, with the now-trademark curved back panel.",True
ORD030456,ID4735836856,2019-12-21,Thompson,"[('Alcon 10', 1), ('Toshika 750', 2), ('iStream', 1), ('pearTV', 2)]",30360,59.45,-37.8035343,144.9499883,0,30419.45,Summer,False,1.0492,the alcon's water resistance rating is pure garbage. i just drowned two phones in an inch ... the alcon's water resistance rating is pure garbage. i just drowned two phones in an inch of water within a few minutes. anyone know of a class-action lawsuit for this?,False
ORD372370,ID0746912580,2019-05-10,Nickolson,"[('Lucent 330S', 1), ('Thunder line', 1), ('Toshika 750', 1), ('Universe Note', 1)]",11180,66.02,-37.824146,144.9835879,0,11246.02,Autumn,False,1.3803,not too bad so far so good still trying to learn how to operate,True
ORD281079,ID2948774562,2019-07-06,Nickolson,"[('Alcon 10', 2), ('Universe Note', 1)]",21350,63.08,-37.8090115,144.9720216,5,20345.58,Winter,True,1.0887,bad item awful.....not describe in shoul have been properly describe adebrethdfvfyk4554 hgkhkuiiuyhjk46ythgfjyuyjhgj7867ghtu68uiyii rteytrytruy tytryty trytjhjt khjko8o kjhji76ijhjhgk7o kuyiu uyikuykuy uyik uyiuyiuyi uyui,False
ORD398528,ID0269335005,2019-06-21,Nickolson,"[('Lucent 330S', 1), ('Thunder line', 1)]",3410,64.12,-37.8183459,144.9793004,0,3474.12,Winter,False,0.8578,five stars the price point is justified by the quality of this smartphone with its clear display and quick performance.,True
ORD120194,ID6167266639,2019-03-13,Nickolson,"[('Candle Inferno', 1), ('Universe Note', 2), ('iAssist Line', 2), ('iStream', 1)]",11930,65.48,-37.8067184,144.96271289999999,5,11398.98,Autumn,True,1.4524,"don't get it refurbished this was purchased refurbished and the battery runs down in 2 hours time, flat. not that happy with it, will be looking for a new phone. if you purchase try purchasing new and not refurbished.",False
ORD451870,ID0667680181,2019-06-07,Nickolson,"[('Alcon 10', 1), ('Lucent 330S', 2)]",11410,48.52,-37.8131489,144.971519,0,11458.52,Winter,False,0.6305,"used phone i bought two of these product to send my parents abroad and one of them was used. when my parents received their phone, it was locked by a previous owner, they hadn’t been able to use it because as soon as they turn it on, it request for the unlock code.",False
ORD155371,ID6167191696,2019-02-15,Thompson,"[('Alcon 10', 2), ('Universe Note', 2), ('iStream', 2), ('pearTV', 2)]",37720,75.9,-37.8188378,144.9548896,15,32137.9,Summer,False,0.9715,"five stars maybe better if you get more ram, but i am certainly impressed for the price.",True
ORD454230,ID2141904206,2019-12-18,Thompson,"[('Lucent 330S', 1), ('Thunder line', 2), ('Toshika 750', 2), ('iAssist Line', 1)]",16455,63.45,-37.802981,144.9359376,10,14872.95,Summer,False,1.4569,one star wouldn't even recognize my t mobile sim card.,False
ORD016694,ID6197211420,2019-09-20,Thompson,"[('Olivia x460', 1), ('iAssist Line', 1)]",3450,80.46,-37.8171321,144.9341003,25,2667.96,Spring,False,1.2438,good purchase!! battery life is not was i expected it to be. only lasts 18-20 hrs/it does charge fast,True
