order_id,customer_id,date,nearest_warehouse,shopping_cart,order_price,delivery_charges,customer_lat,customer_long,coupon_discount,order_total,season,is_expedited_delivery,distance_to_nearest_warehouse,latest_customer_review,is_happy_customer
ORD258444,ID0777830308,2019-12-29,Thompson,"[('Alcon 10', 2), ('iStream', 1), ('Lucent 330S', 1)]",19280,100.54,-37.80293010000001,144.9581447,25,14560.54,Summer,True,1.4578,"five stars worked great, just what i needed",True
ORD150100,ID0529205079,2019-01-26,Thompson,"[('Candle Inferno', 2), ('Toshika 750', 1)]",5180,100.25,-37.8227836,144.93575230000005,15,4503.25,Summer,True,1.5023,great smartphone for the price best smart phone for the price paid. it has all the features including front camera for skype and other video calling apps. battery lasts long compared to olivia and pear phones. bit heavy compared to olivia and pear.,True
ORD104210,ID4520380454,2019-02-21,Nickolson,"[('iStream', 2), ('Toshika 750', 2), ('Thunder line', 1), ('Lucent 330S', 2)]",13580,92.48,-37.821459999999995,144.96133419999995,25,10277.48,Summer,True,0.7898,great phone. had it for a year and still ... great phone. had it for a year and still is not suffering from lag like other phones i have had. works amazingly! camera is the bomb!,True
ORD433455,ID2383211201,2019-01-25,Nickolson,"[('Alcon 10', 1), ('iAssist Line', 1), ('pearTV', 1), ('iStream', 1)]",17635,96.82,-37.809549,144.9638737,0,17731.82,Summer,True,1.124,awesome. i love iassist.,True
ORD021646,ID0580000526,2019-12-08,Thompson,"[('Olivia x460', 1), ('Lucent 330S', 1), ('Toshika 750', 2)]",11095,103.36,-37.8054152,144.929605,0,11198.36,Summer,True,1.7354,"5 stars amazing . . . minimum to no scratches , fast and easy setup .",True
ORD428891,ID4633573541,2019-01-16,Thompson,"[('iAssist Line', 1), ('Olivia x460', 2), ('Lucent 330S', 1)]",5905,93.81,-37.8054845,144.9438349,5,5703.56,Summer,True,0.8493,deserves every penny i bought this item cheaper than the market. there are unbelievable future for this price. i love it.,True
ORD471366,ID0796798542,2019-02-18,Nickolson,"[('Thunder line', 2), ('iStream', 1)]",4510,97.97,-37.8078753,144.9730954,10,4156.97,Summer,True,1.2333,"fantastic, especially for the price this phone is really, really nice. top features for me are the build quality, screen size, android one and price. this phone simply cannot be beat for the price you pay.",True
ORD401641,ID0577458161,2019-01-15,Nickolson,"[('Candle Inferno', 1), ('Alcon 10', 2), ('Lucent 330S', 1), ('Toshika 750', 1)]",23880,91.96,-37.8188761,144.9784282,25,18001.96,Summer,True,0.7812,"great buy! phone is great i just did not know i was not getting the original charger for it. great price, great condition and quick delivery. i'm happy.",True
ORD003128,ID2935371907,2019-01-27,Bakers,"[('Thunder line', 1), ('Alcon 10', 1), ('pearTV', 1)]",17440,102.08,-37.8248384,144.99132849999995,10,15798.08,Summer,True,1.6875,"great phone you get the basic functions for what a cell phone is needed for, in other words this phone is simple and effective.",True
ORD234509,ID0266271570,2019-02-10,Nickolson,"[('Olivia x460', 1), ('pearTV', 2), ('Toshika 750', 1), ('Candle Inferno', 2)]",19025,96.53,-37.8241825,144.980334,10,17219.03,Summer,True,1.1340000000000001,"cheap and good works as expected, easy to setup. great camera for novices",True
